size                 user_time            nonterminal_nodes    intermediate_nodes   terminal_nodes  packed_nodes    ambiguous_nodes
490                  9683                 120295               119805               490             58704940        238632         
500                  10213                125250               124750               500             62375500        248502         
500                  10148                125250               124750               500             62375500        248502         
500                  10199                125250               124750               500             62375500        248502         
500                  10220                125250               124750               500             62375500        248502         
500                  10178                125250               124750               500             62375500        248502         
500                  10239                125250               124750               500             62375500        248502         
500                  10172                125250               124750               500             62375500        248502         
500                  10359                125250               124750               500             62375500        248502         
500                  10231                125250               124750               500             62375500        248502         
500                  10173                125250               124750               500             62375500        248502         
