size                 user_time            descriptors          nonterminal_nodes    intermediate_nodes     terminal_nodes  packed_nodes    ambiguities
370                  34571                1708503              68635                68265                  370             25258420        135792         
370                  34629                1708503              68635                68265                  370             25258420        135792         
370                  34556                1708503              68635                68265                  370             25258420        135792         
370                  34404                1708503              68635                68265                  370             25258420        135792         
370                  34419                1708503              68635                68265                  370             25258420        135792         
370                  34340                1708503              68635                68265                  370             25258420        135792         
370                  34644                1708503              68635                68265                  370             25258420        135792         
370                  34442                1708503              68635                68265                  370             25258420        135792         
370                  34472                1708503              68635                68265                  370             25258420        135792         
370                  34328                1708503              68635                68265                  370             25258420        135792         
380                  37466                1802178              72390                72010                  380             27364180        143262         
380                  37587                1802178              72390                72010                  380             27364180        143262         
380                  37513                1802178              72390                72010                  380             27364180        143262         
380                  37299                1802178              72390                72010                  380             27364180        143262         
380                  37391                1802178              72390                72010                  380             27364180        143262         
380                  37573                1802178              72390                72010                  380             27364180        143262         
380                  37544                1802178              72390                72010                  380             27364180        143262         
380                  37548                1802178              72390                72010                  380             27364180        143262         
380                  37614                1802178              72390                72010                  380             27364180        143262         
380                  37406                1802178              72390                72010                  380             27364180        143262         
390                  40733                1898353              76245                75855                  390             29583840        150932         
390                  40825                1898353              76245                75855                  390             29583840        150932         
390                  40920                1898353              76245                75855                  390             29583840        150932         
390                  40856                1898353              76245                75855                  390             29583840        150932         
390                  40762                1898353              76245                75855                  390             29583840        150932         
390                  40796                1898353              76245                75855                  390             29583840        150932         
390                  40640                1898353              76245                75855                  390             29583840        150932         
390                  41197                1898353              76245                75855                  390             29583840        150932         
390                  40829                1898353              76245                75855                  390             29583840        150932         
390                  40688                1898353              76245                75855                  390             29583840        150932         
400                  44263                1997028              80200                79800                  400             31920400        158802         
400                  44230                1997028              80200                79800                  400             31920400        158802         
400                  44285                1997028              80200                79800                  400             31920400        158802         
400                  44365                1997028              80200                79800                  400             31920400        158802         
400                  44150                1997028              80200                79800                  400             31920400        158802         
400                  43898                1997028              80200                79800                  400             31920400        158802         
400                  44238                1997028              80200                79800                  400             31920400        158802         
400                  44003                1997028              80200                79800                  400             31920400        158802         
400                  44324                1997028              80200                79800                  400             31920400        158802         
400                  44251                1997028              80200                79800                  400             31920400        158802         
410                  48023                2098203              84255                83845                  410             34376860        166872         
410                  48035                2098203              84255                83845                  410             34376860        166872         
410                  47588                2098203              84255                83845                  410             34376860        166872         
410                  47703                2098203              84255                83845                  410             34376860        166872         
410                  47519                2098203              84255                83845                  410             34376860        166872         
410                  47808                2098203              84255                83845                  410             34376860        166872         
410                  47464                2098203              84255                83845                  410             34376860        166872         
410                  47408                2098203              84255                83845                  410             34376860        166872         
410                  47576                2098203              84255                83845                  410             34376860        166872         
410                  47890                2098203              84255                83845                  410             34376860        166872         
420                  51428                2201878              88410                87990                  420             36956220        175142         
420                  51540                2201878              88410                87990                  420             36956220        175142         
420                  51471                2201878              88410                87990                  420             36956220        175142         
420                  51547                2201878              88410                87990                  420             36956220        175142         
420                  51152                2201878              88410                87990                  420             36956220        175142         
420                  51539                2201878              88410                87990                  420             36956220        175142         
420                  51319                2201878              88410                87990                  420             36956220        175142         
420                  51216                2201878              88410                87990                  420             36956220        175142         
420                  51911                2201878              88410                87990                  420             36956220        175142         
420                  51343                2201878              88410                87990                  420             36956220        175142         
430                  55755                2308053              92665                92235                  430             39661480        183612         
430                  55592                2308053              92665                92235                  430             39661480        183612         
430                  55601                2308053              92665                92235                  430             39661480        183612         
430                  55798                2308053              92665                92235                  430             39661480        183612         
430                  55110                2308053              92665                92235                  430             39661480        183612         
430                  55608                2308053              92665                92235                  430             39661480        183612         
430                  55588                2308053              92665                92235                  430             39661480        183612         
430                  55616                2308053              92665                92235                  430             39661480        183612         
430                  55719                2308053              92665                92235                  430             39661480        183612         
430                  55276                2308053              92665                92235                  430             39661480        183612         
440                  59805                2416728              97020                96580                  440             42495640        192282         
440                  59690                2416728              97020                96580                  440             42495640        192282         
440                  59650                2416728              97020                96580                  440             42495640        192282         
440                  59581                2416728              97020                96580                  440             42495640        192282         
440                  59943                2416728              97020                96580                  440             42495640        192282         
440                  60007                2416728              97020                96580                  440             42495640        192282         
440                  59799                2416728              97020                96580                  440             42495640        192282         
440                  59890                2416728              97020                96580                  440             42495640        192282         
440                  59747                2416728              97020                96580                  440             42495640        192282         
440                  59485                2416728              97020                96580                  440             42495640        192282         
450                  64367                2527903              101475               101025                 450             45461700        201152         
450                  64168                2527903              101475               101025                 450             45461700        201152         
450                  64503                2527903              101475               101025                 450             45461700        201152         
450                  64490                2527903              101475               101025                 450             45461700        201152         
450                  63787                2527903              101475               101025                 450             45461700        201152         
450                  64227                2527903              101475               101025                 450             45461700        201152         
450                  64727                2527903              101475               101025                 450             45461700        201152         
450                  64258                2527903              101475               101025                 450             45461700        201152         
450                  64366                2527903              101475               101025                 450             45461700        201152         
450                  64006                2527903              101475               101025                 450             45461700        201152         
460                  69209                2641578              106030               105570                 460             48562660        210222         
460                  68743                2641578              106030               105570                 460             48562660        210222         
460                  68842                2641578              106030               105570                 460             48562660        210222         
460                  68530                2641578              106030               105570                 460             48562660        210222         
460                  68755                2641578              106030               105570                 460             48562660        210222         
460                  68948                2641578              106030               105570                 460             48562660        210222         
460                  69041                2641578              106030               105570                 460             48562660        210222         
460                  68562                2641578              106030               105570                 460             48562660        210222         
460                  68825                2641578              106030               105570                 460             48562660        210222         
460                  69028                2641578              106030               105570                 460             48562660        210222         
470                  73913                2757753              110685               110215                 470             51801520        219492         
470                  73326                2757753              110685               110215                 470             51801520        219492         
470                  73919                2757753              110685               110215                 470             51801520        219492         
470                  73934                2757753              110685               110215                 470             51801520        219492         
470                  73470                2757753              110685               110215                 470             51801520        219492         
470                  73654                2757753              110685               110215                 470             51801520        219492         
470                  73695                2757753              110685               110215                 470             51801520        219492         
470                  73795                2757753              110685               110215                 470             51801520        219492         
470                  73800                2757753              110685               110215                 470             51801520        219492         
470                  73859                2757753              110685               110215                 470             51801520        219492         
480                  79057                2876428              115440               114960                 480             55181280        228962         
480                  79087                2876428              115440               114960                 480             55181280        228962         
